location_id,datetime,aqi,pm25,pm1,temperature,relativehumidity,um003,hour,day,month,day_of_week,day_name,is_weekend,time_of_day
6093551,2025-11-09 07:00:00+05:45,158.0,69.41466700236003,45.68708356221517,20.152416769663496,51.94250008265177,3269.2978190104163,7,9,11,6,Sunday,1,Morning
6093551,2025-11-09 08:00:00+05:45,154.0,61.89662494659424,41.58891665140788,23.517375008265176,42.94041662216187,3113.288533528645,8,9,11,6,Sunday,1,Morning
6093551,2025-11-09 09:00:00+05:45,156.0,65.97233327229817,43.53883330027262,25.48683331807454,38.85383338928222,3176.255342610677,9,9,11,6,Sunday,1,Morning
6093551,2025-11-09 10:00:00+05:45,153.0,58.715944332546655,39.38583348592122,26.489611223008897,36.39166698455811,2913.495442708334,10,9,11,6,Sunday,1,Morning
6093551,2025-11-09 11:00:00+05:45,112.0,40.01383320490519,27.194000021616617,27.04049997329712,32.26666688919067,1728.8051696777345,11,9,11,6,Sunday,1,Morning
6093551,2025-11-09 12:00:00+05:45,84.0,27.58430553012424,19.17352776527405,27.087333520253495,31.64790274831984,1001.3087799919977,12,9,11,6,Sunday,1,Afternoon
6093551,2025-11-09 13:00:00+05:45,79.0,25.63212500413259,16.464666668574015,26.88133335113525,33.335875034332275,921.404877471924,13,9,11,6,Sunday,1,Afternoon
6093551,2025-11-09 14:00:00+05:45,83.0,27.55033330917358,18.125500011444093,26.63283363978068,36.05749994913737,968.747162882487,14,9,11,6,Sunday,1,Afternoon
6093551,2025-11-09 15:00:00+05:45,91.0,30.883333396911624,20.975166670481364,26.222166728973388,38.74116675059,1136.7891723632813,15,9,11,6,Sunday,1,Afternoon
6093551,2025-11-09 16:00:00+05:45,105.0,37.30566660563151,24.7721666653951,25.435499922434488,42.92599995930991,1455.0719970703124,16,9,11,6,Sunday,1,Afternoon
6093551,2025-11-09 17:00:00+05:45,152.0,58.0654582341512,36.510041586558025,24.966416756312054,42.26799982388814,2573.5297912597657,17,9,11,6,Sunday,1,Afternoon
6093551,2025-11-09 18:00:00+05:45,119.0,42.63816706339518,28.305166625976568,24.683166948954263,42.51866683959961,1838.5963338216145,18,9,11,6,Sunday,1,Evening
6093551,2025-11-09 19:00:00+05:45,157.0,66.54208348592122,42.2612496693929,24.507749843597413,43.13162506421407,3039.727624511719,19,9,11,6,Sunday,1,Evening
6093551,2025-11-09 20:00:00+05:45,173.0,98.21449940999348,60.17799994150797,23.96466655731201,44.50433317820231,4349.84951171875,20,9,11,6,Sunday,1,Evening
6093551,2025-11-09 21:00:00+05:45,114.0,40.78583348592122,26.769500001271567,23.62766669591268,43.35916659037272,1654.9030029296875,21,9,11,6,Sunday,1,Evening
6093551,2025-11-09 22:00:00+05:45,99.0,35.011166636149085,23.175,23.361166191101077,42.9345001856486,1323.1106608072917,22,9,11,6,Sunday,1,Night
6093551,2025-11-09 23:00:00+05:45,99.0,34.77045853932698,22.80887498060862,23.08141674995423,43.16762501398721,1294.4474192301434,23,9,11,6,Sunday,1,Night
6093551,2025-11-10 00:00:00+05:45,106.0,37.54983342488607,24.644833342234296,23.013500022888184,43.49299977620442,1455.3753377278647,0,10,11,0,Monday,0,Night
6093551,2025-11-10 01:00:00+05:45,99.0,34.9889999071757,23.03599999745687,22.815499401092527,43.326833216349286,1314.585998535156,1,10,11,0,Monday,0,Night
6093551,2025-11-10 02:00:00+05:45,96.0,33.32483339309693,22.33049999872843,22.49466676712036,43.26183312733966,1232.8969970703124,2,10,11,0,Monday,0,Night
6093551,2025-11-10 03:00:00+05:45,93.0,32.20233332316081,21.66383333206177,22.28833332061768,43.16683336893718,1166.4078267415364,3,10,11,0,Monday,0,Night
6093551,2025-11-10 04:00:00+05:45,99.0,35.153749815622966,23.690583340326945,22.279499944051107,42.476458406448366,1378.7967859903972,4,10,11,0,Monday,0,Night
6093551,2025-11-10 05:00:00+05:45,120.0,43.25266672770183,29.083499972025542,21.94066654841105,42.382499949137376,1964.277337646484,5,10,11,0,Monday,0,Night
6093551,2025-11-10 06:00:00+05:45,138.0,50.480999755859365,33.97799994150797,21.785666751861573,43.22066663106282,2494.639324951172,6,10,11,0,Monday,0,Morning
6093551,2025-11-10 07:00:00+05:45,118.0,42.53899993896484,28.360999933878578,21.91183309555053,42.55966676076253,1854.4315083821612,7,10,11,0,Monday,0,Morning
6093551,2025-11-10 08:00:00+05:45,153.0,58.83266642252603,39.044933064778654,23.12326667785645,41.82893330891928,2918.7377343750004,8,10,11,0,Monday,0,Morning
6093551,2025-11-10 09:00:00+05:45,152.0,57.83359985351562,37.34320007324219,25.469599952697752,37.48920013427735,2636.359409179688,9,10,11,0,Monday,0,Morning
6093551,2025-11-10 10:00:00+05:45,132.0,48.24212512969971,31.96462513605754,26.126208281517037,34.40104134877523,2249.0437052408856,10,10,11,0,Monday,0,Morning
6093551,2025-11-10 11:00:00+05:45,108.0,38.31366675694784,25.8914999961853,26.420999749501547,32.38683325449626,1567.5523274739585,11,10,11,0,Monday,0,Morning
6093551,2025-11-10 12:00:00+05:45,95.0,32.95516678492228,22.47466665903727,26.645833746592203,32.169666639963786,1261.247332763672,12,10,11,0,Monday,0,Afternoon
6093551,2025-11-10 13:00:00+05:45,90.0,30.410833390553787,20.36150000890096,26.460833581288654,33.37999973297119,1131.5613372802734,13,10,11,0,Monday,0,Afternoon
6093551,2025-11-10 14:00:00+05:45,79.0,25.383000024159752,16.022666676839194,26.13483343124389,34.488333257039386,909.5915028889972,14,10,11,0,Monday,0,Afternoon
6093551,2025-11-10 15:00:00+05:45,91.0,30.888291676839188,20.826291664441424,25.71837508678436,37.0622496287028,1123.3115814208984,15,10,11,0,Monday,0,Afternoon
6093551,2025-11-10 16:00:00+05:45,99.0,35.09733339415657,23.26045832898881,25.109333213170373,40.461722209718495,1326.9068098280163,16,10,11,0,Monday,0,Afternoon
6093551,2025-11-10 17:00:00+05:45,115.0,41.2813613043891,27.22743055290646,24.61204184691111,41.454944345686165,1658.6448801676434,17,10,11,0,Monday,0,Afternoon
6093551,2025-11-10 18:00:00+05:45,105.0,37.15283330281576,24.441666666666663,24.273500092824296,42.2001667658488,1445.6310058593751,18,10,11,0,Monday,0,Evening
6093551,2025-11-10 19:00:00+05:45,121.0,43.81966654459635,28.60550003051758,24.037333361307777,42.44033330281576,1869.0695007324216,19,10,11,0,Monday,0,Evening
6093551,2025-11-10 20:00:00+05:45,135.0,49.26949996948241,32.2164999961853,23.49316657384237,43.21366634368897,2260.1966756184893,20,10,11,0,Monday,0,Evening
6093551,2025-11-10 21:00:00+05:45,137.0,50.29683354695638,33.0835000038147,23.447666422526044,43.27633336385091,2366.4306640625,21,10,11,0,Monday,0,Evening
6093551,2025-11-10 22:00:00+05:45,133.0,48.69183324178059,31.785999965667727,23.174000136057533,43.01850007375081,2237.7440104166667,22,10,11,0,Monday,0,Night
6093551,2025-11-10 23:00:00+05:45,119.0,42.797166697184245,27.95833333333333,23.06333341598511,42.69166679382324,1773.344669596354,23,10,11,0,Monday,0,Night
6093551,2025-11-11 00:00:00+05:45,114.0,40.59850006103516,26.592208329836527,22.87241651217143,42.73674996693928,1617.879377746582,0,11,11,1,Tuesday,0,Night
6093551,2025-11-11 01:00:00+05:45,116.0,41.59449996948243,27.344333330790203,22.88049974441528,42.60566660563151,1698.32182820638,1,11,11,1,Tuesday,0,Night
6093551,2025-11-11 02:00:00+05:45,113.0,40.24516626993816,26.552833334604895,22.70566724141439,42.630000114440925,1607.829992675781,2,11,11,1,Tuesday,0,Night
6093551,2025-11-11 03:00:00+05:45,106.0,37.638833363850914,24.758166662851966,22.28366680145264,42.71650015513103,1471.5166666666669,3,11,11,1,Tuesday,0,Night
6093551,2025-11-11 04:00:00+05:45,109.0,38.83512516021729,25.818125017484025,22.088666915893555,42.48312501907348,1556.6245447794597,4,11,11,1,Tuesday,0,Night
6093551,2025-11-11 05:00:00+05:45,150.0,55.32799987792968,36.22499993642172,21.70466674168905,41.48100007375081,2568.089318847656,5,11,11,1,Tuesday,0,Night
6093551,2025-11-11 06:00:00+05:45,153.0,58.48066660563151,40.28599999745687,21.17066691716512,41.90716660817464,2939.536328125,6,11,11,1,Tuesday,0,Morning
6093551,2025-11-11 07:00:00+05:45,153.0,59.69483311971029,38.14733330408732,21.38133312861125,42.594499778747554,2829.0555013020835,7,11,11,1,Tuesday,0,Morning
6093551,2025-11-11 08:00:00+05:45,155.0,64.13616663614908,42.57816645304362,22.709500026702884,41.33016662597656,3135.8556640625,8,11,11,1,Tuesday,0,Morning
6093551,2025-11-11 09:00:00+05:45,161.0,74.53349990844725,48.3923329671224,24.53366664250692,38.25183334350586,3583.54150390625,9,11,11,1,Tuesday,0,Morning
6093551,2025-11-11 10:00:00+05:45,,55.45049972534181,36.38916651407877,25.531332969665527,35.90399996439616,2682.791829427083,10,11,11,1,Tuesday,0,Morning
6093551,2025-11-11 11:00:00+05:45,123.0,44.400124931335455,29.58537503878276,25.89066630999248,34.15016668637594,1965.8906255086265,11,11,11,1,Tuesday,0,Morning
6093551,2025-11-11 12:00:00+05:45,84.0,27.9358333269755,18.235833326975506,25.93016640345255,31.86566648483276,1047.3644978841146,12,11,11,1,Tuesday,0,Afternoon
6093551,2025-11-11 13:00:00+05:45,78.0,24.88800004323324,15.583333333333336,25.854500071207685,32.81900002161662,889.6969970703125,13,11,11,1,Tuesday,0,Afternoon
